Waktu (UTC),Lintang,Bujur,Kedalaman (km),Magnitudo,Lokasi
2025-11-20 00:15:35,0.6368,1204607.0,17247.0,4.8,"Wilayah Tolitoli/Buol (Orig: 183 km NNE of Palu, Indonesia)"
2025-11-04 09:23:09,-0.5362,1196582.0,10.0,4.2,"47 km NNW of Palu, Indonesia"
2025-10-25 03:59:17,-21266.0,1206903.0,10.0,4.2,"Wilayah Perbatasan Poso-Luwu (Orig: 62 km NE of Masamba, Indonesia)"
2025-10-08 10:09:30,-20359.0,1206836.0,10.0,4.2,"Wilayah Perbatasan Poso-Luwu (Orig: 69 km NE of Masamba, Indonesia)"
2025-09-04 01:09:57,-0.8989,1203595.0,10.0,4.5,"54 km E of Palu, Indonesia"
2025-09-02 23:53:12,-0.93,1203686.0,10.0,5.0,"55 km E of Palu, Indonesia"
2025-08-16 22:38:52,-12749.0,1207206.0,8.0,5.8,"13 km NNW of Poso, Indonesia"
2025-08-15 02:28:37,-2095.0,120684.0,10.0,4.6,"Wilayah Perbatasan Poso-Luwu (Orig: 64 km NE of Masamba, Indonesia)"
2025-07-27 03:21:41,0.5086,1212234.0,92951.0,4.3,"Wilayah Tolitoli/Buol (Orig: 204 km W of Gorontalo, Indonesia)"
2025-07-24 18:44:20,-19782.0,1206432.0,10.0,4.3,"65 km S of Poso, Indonesia"
2025-07-24 13:13:44,-21428.0,1207358.0,10.0,4.6,"Wilayah Perbatasan Poso-Luwu (Orig: 64 km NE of Masamba, Indonesia)"
2025-07-24 13:08:16,-20235.0,120.66,10.0,5.6,"Wilayah Perbatasan Poso-Luwu (Orig: 69 km NNE of Masamba, Indonesia)"
2025-07-24 13:06:57,-19763.0,1207566.0,10.0,5.5,"64 km S of Poso, Indonesia"
2025-07-19 09:07:46,-0.677,1232858.0,10.0,4.3,"63 km ENE of Luwuk, Indonesia"
2025-07-19 06:53:41,-0.6856,1231922.0,10.0,5.0,"53 km ENE of Luwuk, Indonesia"
2025-07-14 12:52:18,-20582.0,1207279.0,10.0,5.0,"Wilayah Perbatasan Poso-Luwu (Orig: 70 km NE of Masamba, Indonesia)"
2025-07-14 03:50:10,-0.6616,1232397.0,18.91,4.5,"59 km ENE of Luwuk, Indonesia"
2025-07-01 19:55:49,-0.8451,1219119.0,10.0,4.5,"98 km W of Luwuk, Indonesia"
2025-06-08 03:46:33,-0.5737,1218989.0,10.0,4.7,"107 km WNW of Luwuk, Indonesia"
2025-06-05 23:31:24,-16753.0,1238813.0,10.0,4.5,"145 km ESE of Luwuk, Indonesia"
2025-05-31 18:41:50,-10712.0,119766.0,45354.0,4.7,"21 km SSW of Palu, Indonesia"
2025-05-15 14:01:42,-10546.0,1220296.0,22132.0,4.3,"85 km W of Luwuk, Indonesia"
2025-05-13 16:54:23,-16795.0,120842.0,13442.0,4.5,"32 km SSE of Poso, Indonesia"
2025-04-25 06:09:32,0.6122,1205665.0,10.0,4.4,"Wilayah Tolitoli/Buol (Orig: 185 km NNE of Palu, Indonesia)"
2025-04-07 03:36:35,-18351.0,1204579.0,10.0,4.3,"58 km SW of Poso, Indonesia"
2025-03-22 03:46:15,10626.0,1202798.0,35.0,4.2,"Wilayah Tolitoli/Buol (Orig: 222 km NNE of Palu, Indonesia)"
2025-03-18 19:17:58,-0.261,122991.0,90677.0,4.6,"79 km NNE of Luwuk, Indonesia"
2025-03-14 11:13:32,11243.0,1202572.0,27644.0,5.4,"Wilayah Tolitoli/Buol (Orig: 228 km N of Palu, Indonesia)"
2025-02-23 00:18:02,0.6013,1212448.0,85947.0,3.9,"Wilayah Tolitoli/Buol (Orig: 202 km W of Gorontalo, Indonesia)"
2025-01-28 14:53:34,0.4934,1211903.0,99753.0,5.4,"Wilayah Tolitoli/Buol (Orig: 208 km W of Gorontalo, Indonesia)"
2025-01-26 04:36:00,-14456.0,1199598.0,10.0,4.3,"60 km S of Palu, Indonesia"
2025-01-04 15:10:11,0.9111,1199938.0,40875.0,4.4,"Wilayah Tolitoli/Buol (Orig: 201 km N of Palu, Indonesia)"
2024-12-26 14:57:28,-0.4362,1234462.0,62.86,4.6,"92 km NE of Luwuk, Indonesia"
2024-11-09 02:53:38,0.9901,1211379.0,57398.0,4.9,"Wilayah Tolitoli/Buol (Orig: 219 km WNW of Gorontalo, Indonesia)"
2024-10-30 02:38:18,-16039.0,1233702.0,10.0,4.4,"96 km SE of Luwuk, Indonesia"
2024-10-20 05:24:49,0.3682,1210182.0,107402.0,4.6,"Wilayah Tolitoli/Buol (Orig: 190 km NE of Palu, Indonesia)"
2024-10-19 18:07:13,0.4909,1199077.0,62475.0,5.2,"Wilayah Tolitoli/Buol (Orig: 154 km N of Palu, Indonesia)"
2024-09-12 00:24:45,-0.344,1230614.0,102927.0,4.0,"73 km NNE of Luwuk, Indonesia"
2024-09-03 13:13:07,-0.3392,1231077.0,81566.0,4.3,"76 km NNE of Luwuk, Indonesia"
2024-08-25 19:25:27,-15832.0,1208771.0,10.0,4.4,"24 km SE of Poso, Indonesia"
2024-08-16 02:19:01,0.6224,1208923.0,64.95,4.4,"Wilayah Tolitoli/Buol (Orig: 203 km NE of Palu, Indonesia)"
2024-08-10 23:24:26,-12367.0,120444.0,10.0,4.4,"38 km WNW of Poso, Indonesia"
2024-08-08 07:24:25,-0.7254,1219797.0,10.0,4.4,"93 km WNW of Luwuk, Indonesia"
2024-07-21 06:52:41,11856.0,1203646.0,29505.0,4.3,"Wilayah Tolitoli/Buol (Orig: 237 km NNE of Palu, Indonesia)"
2024-07-02 22:07:26,-0.6616,1226595.0,10.0,4.6,"35 km NNW of Luwuk, Indonesia"
2024-06-27 03:46:36,-0.3864,123237.0,52135.0,4.7,"80 km NE of Luwuk, Indonesia"
2024-06-02 13:58:01,-0.2229,1224956.0,10.0,4.6,"86 km NNW of Luwuk, Indonesia"
2024-05-29 21:58:37,0.9988,1198084.0,29721.0,4.3,"Wilayah Tolitoli/Buol (Orig: 210 km N of Palu, Indonesia)"
2024-05-14 01:51:30,-0.3323,1220154.0,10.0,4.3,"109 km NW of Luwuk, Indonesia"
2024-05-06 23:33:42,-10587.0,1205697.0,10.0,4.5,"42 km NNW of Poso, Indonesia"
2024-04-27 07:40:24,-0.7442,1230469.0,9779.0,4.1,"36 km NE of Luwuk, Indonesia"
2024-03-25 12:37:04,-16216.0,1202439.0,10.0,4.1,"61 km WSW of Poso, Indonesia"
2024-02-23 11:57:58,-0.1001,1219266.0,265184.0,4.4,"134 km NW of Luwuk, Indonesia"
2024-02-22 23:13:36,0.9339,1203171.0,22696.0,4.4,"Wilayah Tolitoli/Buol (Orig: 209 km NNE of Palu, Indonesia)"
2024-02-16 18:24:32,13797.0,1202649.0,33238.0,4.5,"Wilayah Tolitoli/Buol (Orig: 256 km N of Palu, Indonesia)"
2024-02-05 10:25:17,0.7128,1212997.0,84952.0,4.7,"Wilayah Tolitoli/Buol (Orig: 197 km W of Gorontalo, Indonesia)"
2024-01-25 11:32:20,-0.6126,122341.0,10.0,4.4,"62 km NW of Luwuk, Indonesia"
2024-01-18 18:02:59,-11211.0,1215279.0,10.0,4.6,"91 km ENE of Poso, Indonesia"
2024-01-18 17:36:15,-10938.0,1215194.0,10.0,4.9,"91 km ENE of Poso, Indonesia"
2024-01-18 16:06:37,-11545.0,1214846.0,10.0,4.4,"85 km ENE of Poso, Indonesia"
2024-01-07 10:38:21,-18154.0,1225443.0,10.0,4.9,"99 km SSW of Luwuk, Indonesia"
2023-12-25 03:18:06,-0.721,1214377.0,10.0,4.3,"106 km NE of Poso, Indonesia"
2023-12-20 10:48:52,0.2783,1204221.0,75.66,4.0,"Wilayah Tolitoli/Buol (Orig: 144 km NNE of Palu, Indonesia)"
2023-12-16 22:30:39,-0.5444,1222196.0,10.0,4.2,"77 km NW of Luwuk, Indonesia"
2023-12-09 23:27:31,10045.0,1207906.0,576502.0,4.6,"Wilayah Tolitoli/Buol (Orig: 234 km NNE of Palu, Indonesia)"
2023-11-25 01:29:54,-0.4227,1227799.0,170215.0,4.0,"58 km N of Luwuk, Indonesia"
2023-11-13 21:12:59,-0.3679,1231587.0,75366.0,4.2,"76 km NNE of Luwuk, Indonesia"
2023-09-09 14:43:24,0.0018,1197663.0,13.0,6.0,"101 km N of Palu, Indonesia"
2023-08-12 13:20:17,-0.6518,1212134.0,18433.0,5.0,"96 km NNE of Poso, Indonesia"
2023-08-10 06:14:43,0.7372,1214877.0,87663.0,4.9,"Wilayah Tolitoli/Buol (Orig: 176 km W of Gorontalo, Indonesia)"
2023-08-06 10:16:25,-10339.0,1204428.0,10.0,4.8,"52 km NW of Poso, Indonesia"
2023-08-06 10:09:22,-10804.0,120281.0,10.0,5.3,"49 km ESE of Palu, Indonesia"
2023-08-06 04:33:26,-10937.0,1203249.0,10.0,4.7,"54 km ESE of Palu, Indonesia"
2023-08-06 01:44:34,-11715.0,1202762.0,10.0,5.2,"53 km ESE of Palu, Indonesia"
2023-08-03 18:05:53,11104.0,1202937.0,646537.0,4.5,"Wilayah Tolitoli/Buol (Orig: 228 km NNE of Palu, Indonesia)"
2023-07-30 23:39:21,-0.9468,1205307.0,10.0,4.1,"55 km NNW of Poso, Indonesia"
2023-07-22 06:20:23,-16563.0,120.75,10.0,4.3,"28 km S of Poso, Indonesia"
2023-07-09 09:44:16,0.7951,1211135.0,78944.0,4.3,"Wilayah Tolitoli/Buol (Orig: Minahasa, Sulawesi, Indonesia)"
2023-06-30 10:37:30,-0.5743,1224631.0,10.0,4.9,"55 km NW of Luwuk, Indonesia"
2023-06-22 22:36:52,10474.0,120436.0,35.0,4.2,"Wilayah Tolitoli/Buol (Orig: 225 km NNE of Palu, Indonesia)"
2023-06-17 06:12:50,0.8481,1202357.0,80875.0,4.3,"Wilayah Tolitoli/Buol (Orig: 198 km NNE of Palu, Indonesia)"
2023-06-04 10:15:26,0.4306,1202406.0,562607.0,4.3,"Wilayah Tolitoli/Buol (Orig: Minahasa, Sulawesi, Indonesia)"
2023-05-28 21:05:27,-11166.0,1205444.0,40924.0,4.3,"38 km NW of Poso, Indonesia"
2023-05-25 04:32:04,-14868.0,1194146.0,10.0,4.1,"81 km SW of Palu, Indonesia"
2023-05-21 20:54:34,-10993.0,1203773.0,36481.0,4.7,"53 km NW of Poso, Indonesia"
2023-05-21 17:31:05,-10883.0,1203466.0,49159.0,4.8,"56 km NW of Poso, Indonesia"
2023-05-04 21:43:09,-0.9139,1233579.0,10.0,4.5,"63 km E of Luwuk, Indonesia"
2023-04-06 00:32:02,-0.536,1221838.0,10.0,5.2,"81 km NW of Luwuk, Indonesia"
2023-03-28 04:19:09,-0.3747,1235348.0,75.11,5.0,"104 km NE of Luwuk, Indonesia"
2023-03-07 03:14:31,-0.1482,1203173.0,10.0,4.0,"97 km NNE of Palu, Indonesia"
2023-03-03 13:24:29,-0.4513,1230211.0,88033.0,4.5,"61 km NNE of Luwuk, Indonesia"
2023-03-03 07:02:31,-17176.0,1200864.0,39789.0,4.6,"82 km WSW of Poso, Indonesia"
2023-03-02 08:56:45,1074.0,1202034.0,35952.0,4.4,"Wilayah Tolitoli/Buol (Orig: 222 km N of Palu, Indonesia)"
2023-02-27 04:33:16,-16197.0,1203439.0,10.0,4.4,"51 km WSW of Poso, Indonesia"
2023-02-27 01:48:50,-15833.0,1204247.0,37179.0,4.4,"Sulawesi, Indonesia"
2023-02-27 01:26:05,-1614.0,1202491.0,38883.0,5.5,"60 km WSW of Poso, Indonesia"
2023-02-18 21:18:34,0.5305,119579.0,10.0,4.6,"Wilayah Tolitoli/Buol (Orig: 162 km NNW of Palu, Indonesia)"
2023-02-14 06:02:19,0.4766,1210268.0,100759.0,4.7,"Wilayah Tolitoli/Buol (Orig: 200 km NE of Palu, Indonesia)"
2023-02-07 18:42:32,-0.1617,1239229.0,106352.0,4.2,"Sulawesi, Indonesia"
2023-02-06 07:42:22,-0.3604,1231891.0,10.0,4.6,"79 km NE of Luwuk, Indonesia"
2023-02-02 09:30:24,-0.2592,1237721.0,91751.0,4.6,"Sulawesi, Indonesia"
2023-01-25 02:52:25,-0.2488,1230509.0,162171.0,4.1,"83 km NNE of Luwuk, Indonesia"
2022-12-15 08:04:56,-0.7996,1218642.0,10008.0,4.4,"104 km W of Luwuk, Indonesia"
2022-12-13 07:55:50,-0.6142,1218665.0,9045.0,4.1,"Sulawesi, Indonesia"
2022-10-20 22:59:07,-0.8263,1215723.0,11.03,4.9,"110 km NE of Poso, Indonesia"
2022-09-20 06:52:33,-0.031,1233054.0,146362.0,4.4,"Sulawesi, Indonesia"
2022-09-03 18:01:59,-16533.0,1212495.0,10.0,4.2,"62 km ESE of Poso, Indonesia"
2022-08-22 11:09:34,-0.5079,1234515.0,10143.0,4.5,"88 km ENE of Luwuk, Indonesia"
2022-07-20 21:38:58,-2136.0,1206137.0,10.0,4.4,"83 km S of Poso, Indonesia"
2022-07-11 20:37:57,-0.2502,1230551.0,79.54,4.5,"83 km NNE of Luwuk, Indonesia"
2022-06-16 00:31:15,11013.0,1213255.0,38.99,4.0,"Wilayah Tolitoli/Buol (Orig: 203 km WNW of Gorontalo, Indonesia)"
2022-06-02 17:31:26,-21391.0,1204875.0,10.0,4.8,"87 km SSW of Poso, Indonesia"
2022-04-21 10:14:45,-11594.0,1210128.0,10.0,4.4,"39 km NE of Poso, Indonesia"
2022-04-20 10:21:48,-18324.0,1225521.0,10.0,4.7,"100 km SSW of Luwuk, Indonesia"
2022-04-18 05:46:45,-13329.0,1204219.0,10.0,4.5,"37 km W of Poso, Indonesia"
2022-04-01 12:22:13,-0.4258,1232267.0,70.26,4.3,"75 km NE of Luwuk, Indonesia"
2022-03-27 16:34:59,-12154.0,1207692.0,10.0,4.5,"20 km N of Poso, Indonesia"
2022-02-09 00:14:17,-12534.0,123881.0,10.0,4.1,"126 km ESE of Luwuk, Indonesia"
2022-02-07 00:14:13,-0.4253,1220153.0,18.05,4.5,"103 km NW of Luwuk, Indonesia"
2022-02-01 06:06:39,-0.7594,1223155.0,10.0,4.7,"56 km WNW of Luwuk, Indonesia"
2021-12-31 05:53:42,0.0488,1204338.0,106.77,5.0,"122 km NNE of Palu, Indonesia"
2021-12-30 03:03:35,-0.8013,121985.0,10.0,4.4,"90 km W of Luwuk, Indonesia"
2021-12-26 00:32:56,-0.2375,1230002.0,85.67,4.4,"82 km NNE of Luwuk, Indonesia"
2021-12-25 19:21:51,10994.0,1213822.0,59.25,4.2,"Wilayah Tolitoli/Buol (Orig: 197 km WNW of Gorontalo, Indonesia)"
2021-12-13 21:14:06,0.3669,1206257.0,72.86,4.5,"Wilayah Tolitoli/Buol (Orig: 164 km NNE of Palu, Indonesia)"
2021-11-08 05:05:56,-0.5846,1235502.0,10.0,5.4,"Sulawesi, Indonesia"
2021-11-07 03:50:47,0.9638,1199714.0,35.0,4.5,"Wilayah Tolitoli/Buol (Orig: 207 km N of Palu, Indonesia)"
2021-11-06 03:56:19,-13117.0,1206152.0,10.0,5.1,"17 km WNW of Poso, Indonesia"
2021-10-09 05:38:20,11792.0,1212694.0,57.81,4.6,"Wilayah Tolitoli/Buol (Orig: 211 km WNW of Gorontalo, Indonesia)"
2021-10-07 23:02:49,-16624.0,1202302.0,10.0,4.5,"65 km WSW of Poso, Indonesia"
2021-09-29 16:39:30,-13006.0,1237013.0,10.0,4.5,"108 km ESE of Luwuk, Indonesia"
2021-09-16 19:19:55,-12665.0,1205853.0,10.0,4.5,"Sulawesi, Indonesia"
2021-09-16 07:59:23,-12174.0,1205922.0,10.0,4.8,"26 km NW of Poso, Indonesia"
2021-08-26 02:14:22,-0.8389,1215296.0,8.0,5.7,"106 km NE of Poso, Indonesia"
2021-08-22 11:07:24,13725.0,1208244.0,38.3,4.5,"Wilayah Tolitoli/Buol (Orig: 265 km WNW of Gorontalo, Indonesia)"
2021-08-12 17:21:03,0.5946,1196791.0,10.0,4.4,"Wilayah Tolitoli/Buol (Orig: 167 km N of Palu, Indonesia)"
2021-08-02 04:44:41,-0.6614,1219021.0,10.0,4.5,"103 km WNW of Luwuk, Indonesia"
2021-08-02 04:41:23,-0.6027,1220124.0,10.0,4.8,"94 km WNW of Luwuk, Indonesia"
2021-08-01 13:56:55,-0.7027,1218674.0,13.42,4.3,"106 km WNW of Luwuk, Indonesia"
2021-07-28 13:34:47,-0.581,1218442.0,10.0,4.4,"112 km WNW of Luwuk, Indonesia"
2021-07-27 18:32:26,-0.6623,121959.0,10.0,4.5,"97 km WNW of Luwuk, Indonesia"
2021-07-26 17:42:07,-0.7089,1219594.0,10.0,4.2,"96 km WNW of Luwuk, Indonesia"
2021-07-26 17:10:10,-0.6714,1219339.0,10.0,4.7,"99 km WNW of Luwuk, Indonesia"
2021-07-26 15:42:29,-0.7498,1220257.0,10.0,4.3,"87 km WNW of Luwuk, Indonesia"
2021-07-26 13:50:02,-0.7279,1218801.0,11.94,4.2,"Sulawesi, Indonesia"
2021-07-26 12:59:27,-0.7491,1219754.0,10.0,4.3,"93 km WNW of Luwuk, Indonesia"
2021-07-26 12:09:06,-0.7679,1219083.0,11.0,6.3,"99 km WNW of Luwuk, Indonesia"
2021-07-26 03:52:02,-0.6732,1219049.0,9.75,5.8,"102 km WNW of Luwuk, Indonesia"
2021-07-10 17:59:03,0.6597,1206466.0,3.44,4.0,"Wilayah Tolitoli/Buol (Orig: 193 km NNE of Palu, Indonesia)"
2021-07-10 07:57:57,-0.9611,1200897.0,10.0,4.4,"25 km ESE of Palu, Indonesia"
2021-07-01 11:26:04,0.5456,1211628.0,88.53,4.5,"Wilayah Tolitoli/Buol (Orig: 211 km W of Gorontalo, Indonesia)"
2021-06-28 20:03:04,0.4538,1203581.0,57.43,4.2,"Wilayah Tolitoli/Buol (Orig: 160 km NNE of Palu, Indonesia)"
2021-05-29 01:25:14,1019.0,1200848.0,17.42,5.1,"Wilayah Tolitoli/Buol (Orig: 214 km N of Palu, Indonesia)"
2021-05-18 09:21:55,0.3085,1201175.0,45.86,4.4,"Wilayah Tolitoli/Buol (Orig: 137 km NNE of Palu, Indonesia)"
2021-05-02 09:08:15,-14605.0,1201564.0,10.0,4.4,"66 km W of Poso, Indonesia"
2021-05-01 09:21:58,-15462.0,1202745.0,10.0,4.6,"55 km WSW of Poso, Indonesia"
2021-04-30 19:50:46,-1.54,1202267.0,18.97,4.5,"60 km WSW of Poso, Indonesia"
2021-04-04 19:07:55,-0.3553,1221298.0,10.0,4.3,"98 km NW of Luwuk, Indonesia"
2021-04-02 07:52:21,0.4032,1214866.0,146.42,4.2,"Wilayah Tolitoli/Buol (Orig: 176 km W of Gorontalo, Indonesia)"
2021-03-24 21:23:03,11027.0,1209127.0,569.34,4.9,"Wilayah Tolitoli/Buol (Orig: 247 km WNW of Gorontalo, Indonesia)"
2021-03-20 07:54:16,-11378.0,1208381.0,10.0,4.3,"30 km NNE of Poso, Indonesia"
2021-02-27 06:53:13,-0.6509,1237893.0,47.15,4.4,"116 km ENE of Luwuk, Indonesia"
2021-02-27 04:49:26,-0.5173,1220639.0,10.0,4.4,"93 km WNW of Luwuk, Indonesia"
2021-02-25 17:50:47,-0.9225,1239001.0,86.4,4.3,"123 km E of Luwuk, Indonesia"
2021-02-17 21:34:44,10834.0,1201789.0,35.0,4.4,"Wilayah Tolitoli/Buol (Orig: 222 km N of Palu, Indonesia)"
2021-02-14 09:44:50,12428.0,1202829.0,49.29,5.1,"Wilayah Tolitoli/Buol (Orig: 242 km N of Palu, Indonesia)"
2021-02-10 09:08:54,-0.4913,1227716.0,69.0,4.3,"50 km N of Luwuk, Indonesia"
2021-02-05 21:53:48,-0.6277,1232701.0,18.54,4.2,"64 km ENE of Luwuk, Indonesia"
2021-02-05 02:37:33,-0.1193,121.92,280.84,4.3,"133 km NW of Luwuk, Indonesia"
2021-01-19 00:56:44,-0.0023,1200833.0,79.29,4.8,"102 km NNE of Palu, Indonesia"
2021-01-11 01:57:27,10276.0,1199894.0,9.85,5.2,"Wilayah Tolitoli/Buol (Orig: 214 km N of Palu, Indonesia)"
2021-01-02 13:59:25,-19263.0,122549.0,10.0,4.4,"110 km SSW of Luwuk, Indonesia"
2020-12-14 11:47:26,-0.6459,1233175.0,10.0,4.3,"67 km ENE of Luwuk, Indonesia"
,,,,,
LINK Data : https://earthquake.usgs.gov/earthquakes/search/,,,,,
